Path,SteerAngle,Throttle,Brake,Speed,X_Position,Y_Position,Pitch,Yaw,Roll
C:\Projects\RoboticsNano\RoboND-Rover-Project\IMG\robocam_2017_05_29_16_18_34_895.jpg,0,0,0,-0.3297937,118.0782,132.0383,0.07360616,164.2448,0.006327849
C:\Projects\RoboticsNano\RoboND-Rover-Project\IMG\robocam_2017_05_29_16_18_34_936.jpg,0,0,0,-0.3290424,118.0909,132.0348,0.07293174,164.2448,0.005393852
C:\Projects\RoboticsNano\RoboND-Rover-Project\IMG\robocam_2017_05_29_16_18_34_977.jpg,0,0,0,-0.3282929,118.1035,132.0312,0.07233098,164.2448,0.004466474
C:\Projects\RoboticsNano\RoboND-Rover-Project\IMG\robocam_2017_05_29_16_18_35_018.jpg,-0.2993821,0,0.01995881,-0.3121724,118.1156,132.0278,0.08325233,164.2428,0.003616505
C:\Projects\RoboticsNano\RoboND-Rover-Project\IMG\robocam_2017_05_29_16_18_35_059.jpg,-2.107517,0,0.1405011,-0.2444505,118.1254,132.0249,0.1482804,164.2654,0.004659692
C:\Projects\RoboticsNano\RoboND-Rover-Project\IMG\robocam_2017_05_29_16_18_35_100.jpg,-3.986335,0,0.2657557,-0.1229356,118.1256,132.0249,0.4278032,164.2654,0.003117775
C:\Projects\RoboticsNano\RoboND-Rover-Project\IMG\robocam_2017_05_29_16_18_35_140.jpg,-5.785823,0,0.3857216,-0.1045278,118.1256,132.0249,0.6642113,164.2655,0.003669632
C:\Projects\RoboticsNano\RoboND-Rover-Project\IMG\robocam_2017_05_29_16_18_35_181.jpg,-7.599948,0,0.5066632,-0.09068899,118.1257,132.0248,0.8742684,164.2659,0.003841495
C:\Projects\RoboticsNano\RoboND-Rover-Project\IMG\robocam_2017_05_29_16_18_35_221.jpg,-9.416305,0,0.6277536,-0.07854545,118.1258,132.0248,1.05728,164.2663,-0.001883799
C:\Projects\RoboticsNano\RoboND-Rover-Project\IMG\robocam_2017_05_29_16_18_35_262.jpg,-11.24069,0,0.7493797,-0.06454874,118.1259,132.0248,1.210951,164.2667,0.003545499
C:\Projects\RoboticsNano\RoboND-Rover-Project\IMG\robocam_2017_05_29_16_18_35_302.jpg,-13.04805,0,0.8698699,-0.03446434,118.1259,132.0248,1.30513,164.271,359.9899
C:\Projects\RoboticsNano\RoboND-Rover-Project\IMG\robocam_2017_05_29_16_18_35_343.jpg,-14.91769,0,0.9945127,0.02301563,118.1259,132.0247,1.289891,164.2635,0.007001597
C:\Projects\RoboticsNano\RoboND-Rover-Project\IMG\robocam_2017_05_29_16_18_35_384.jpg,-15,0,1,0.04961229,118.1259,132.0248,1.188567,164.2651,0.005320901
C:\Projects\RoboticsNano\RoboND-Rover-Project\IMG\robocam_2017_05_29_16_18_35_425.jpg,-15,0,1,0.05303314,118.1259,132.0248,1.070722,164.2639,-0.003007409
C:\Projects\RoboticsNano\RoboND-Rover-Project\IMG\robocam_2017_05_29_16_18_35_466.jpg,-15,0,1,0.05451393,118.1258,132.0248,0.9492344,164.2626,359.9892
C:\Projects\RoboticsNano\RoboND-Rover-Project\IMG\robocam_2017_05_29_16_18_35_506.jpg,-15,0,1,0.05540845,118.1258,132.0248,0.8254104,164.2614,359.9819
C:\Projects\RoboticsNano\RoboND-Rover-Project\IMG\robocam_2017_05_29_16_18_35_547.jpg,-15,0,1,0.05576301,118.1257,132.0248,0.7004889,164.2603,359.9752
